iter	Passed	Remaining
0	59	59162
1	59	29885
2	60	20155
3	61	15262
4	61	12325
5	62	10367
6	63	8962
7	63	7916
8	64	7099
9	65	6438
10	65	5905
11	66	5458
12	66	5077
13	67	4747
14	68	4469
15	68	4220
16	69	3996
17	69	3794
18	69	3612
19	70	3448
20	70	3300
21	71	3165
22	71	3044
23	72	2932
24	72	2827
25	72	2730
26	73	2646
27	74	2569
28	75	2512
29	75	2447
30	76	2380
31	76	2315
32	76	2255
33	77	2198
34	77	2145
35	78	2096
36	78	2052
37	79	2008
38	79	1969
39	80	1928
40	80	1889
41	81	1852
42	81	1818
43	82	1786
44	82	1756
45	83	1729
46	83	1701
47	84	1678
48	85	1653
49	85	1628
50	86	1604
51	86	1579
52	87	1555
53	87	1532
54	88	1512
55	88	1493
56	89	1475
57	89	1458
58	90	1442
59	90	1425
60	91	1408
61	92	1392
62	92	1376
63	93	1361
64	93	1346
65	94	1332
66	94	1318
67	95	1307
68	96	1295
69	96	1281
70	96	1267
71	97	1254
72	97	1240
73	98	1228
74	98	1215
75	98	1203
76	99	1191
77	99	1179
78	100	1168
79	100	1160
80	101	1150
81	101	1141
82	102	1129
83	102	1121
84	103	1112
85	103	1103
86	104	1095
87	104	1087
88	105	1079
89	106	1072
90	106	1065
91	107	1057
92	107	1049
93	107	1040
94	108	1032
95	108	1024
96	109	1016
97	109	1009
98	110	1001
99	110	994
100	110	986
101	111	981
102	112	975
103	112	969
104	113	964
105	113	958
106	114	952
107	114	947
108	115	942
109	115	936
110	116	931
111	116	926
112	117	921
113	117	916
114	118	910
115	118	904
116	119	898
117	119	893
118	119	887
119	120	882
120	120	877
121	121	871
122	121	866
123	121	861
124	122	857
125	122	852
126	123	847
127	123	843
128	124	838
129	124	833
130	124	828
131	125	824
132	125	819
133	126	815
134	126	811
135	127	807
136	127	802
137	127	799
138	128	795
139	128	791
140	129	787
141	129	782
142	129	778
143	130	774
144	130	770
145	131	767
146	131	763
147	131	759
148	132	756
149	132	753
150	133	750
151	134	748
152	134	745
153	135	742
154	135	739
155	136	737
156	136	734
157	137	731
158	137	728
159	138	726
160	138	723
161	139	721
162	139	718
163	140	716
164	141	713
165	141	711
166	142	708
167	142	705
168	143	703
169	143	701
170	144	698
171	144	696
172	145	694
173	145	691
174	146	689
175	146	687
176	147	685
177	147	682
178	148	680
179	148	678
180	149	676
181	149	673
182	150	671
183	150	669
184	151	666
185	151	663
186	152	661
187	152	658
188	152	656
189	153	653
190	153	651
191	154	648
192	154	647
193	155	645
194	155	643
195	156	642
196	157	640
197	157	638
198	158	636
199	158	634
200	159	632
201	159	630
202	160	629
203	160	627
204	161	625
205	161	623
206	162	621
207	162	619
208	163	616
209	163	614
210	163	612
211	164	610
212	164	608
213	165	606
214	165	604
215	166	602
216	166	601
217	167	599
218	167	598
219	168	596
220	168	594
221	169	593
222	169	591
